index,coef,std err,t,P>|t|,2.5 %,97.5 %
-7 years,-0.05958064420657283,0.08717052023599162,-0.6834953381633339,0.47397138873274614,-0.26102920767956483,0.11127095426719016
-6 years,0.22953599457381893,0.09284268139048156,2.4723111303563825,0.01207106655309198,0.04972280304095712,0.4115043187103462
-5 years,-0.013501040263206532,0.06336317327631451,-0.21307392867353903,0.7710583968580281,-0.13659076797037445,0.11068851290934942
-4 years,-0.029998453687890607,0.06440162476108273,-0.4658027464241613,0.5991801403136483,-0.14791223894987246,0.09622566501212224
-3 years,0.0013253876154896496,0.06267202943223175,0.02114799261324084,0.8579975044143391,-0.10230628528920596,0.12416049473364757
-2 years,0.042552162370488436,0.0470570943630255,0.9042666774581655,0.32240965794553156,-0.04435883830338867,0.13478230378174663
-1 years,-0.11114097461528084,0.052474729789255534,-2.1179904129403924,0.03693506932867807,-0.2201622462850422,-0.008292434411358622
0 years,0.12473990612295818,0.04970144547217928,2.5097842716220837,0.010557904988521605,0.028038458961191046,0.22215294056641083
1 years,0.09594988262141411,0.062275698854143996,1.540727513088829,0.09137288321684556,-0.01641608476543424,0.21800819748432354
2 years,0.12805522617715165,0.06298209871254597,2.0332003663708207,0.03666734884954592,0.00783528222931662,0.2514978461285383
3 years,0.09552020779854048,0.078214024975988,1.2212670020225342,0.2096628016863772,-0.05037741102579939,0.24881730317835057
4 years,0.18269212659821654,0.07749421570245081,2.3574937166883125,0.027647882970264326,0.026894013583501464,0.3345779983851984
