dep_var,coef,ci_low,ci_high,model,err_low,err_high
Actions,0.2287220012864552,0.1953566797086586,0.2620873228642518,Classic DiD,0.03336532157779659,0.03336532157779659
Facilities,0.1588667726947445,0.1362150533211234,0.1815184920683656,Classic DiD,0.022651719373621093,0.022651719373621093
Formal,0.2091580289451542,0.1713615631969236,0.2469544946933848,Classic DiD,0.03779646574823059,0.03779646574823059
Actions,0.1929264351033671,0.1298888525181531,0.2562350474083253,DML-LGBM (tuned),0.063037582585214,0.06330861230495821
Facilities,0.127163886556788,0.0813201064273346,0.1756544095082954,DML-LGBM (tuned),0.04584378012945341,0.04849052295150738
Formal,0.2020046449156015,0.1244699568521826,0.2809251468322543,DML-LGBM (tuned),0.0775346880634189,0.07892050191665279
