scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters,n_units,preset
10,TWFE,0.0395080201486072,0.0399087561024491,-0.0004007359538419,0.1466775915285263,0.9905,0.1884944000020908,2000.0,500,light
11,DML-Chang,0.0599489694308858,0.0514819602080599,0.0084670092228259,0.3328172280342195,0.9755,0.3690007553955521,2000.0,500,light
11,TWFE,0.1941576172704222,0.0514819602080599,0.1426756570623622,0.2102786845887154,0.9355,0.1953845476492851,2000.0,500,light
12,DML-Chang,-0.3026197768764939,-0.6247205015109475,0.3221007246344536,0.5459695901048877,0.8555,0.4429241419705038,2000.0,500,light
12,TWFE,-0.5070082993075666,-0.6247205015109475,0.1177122022033809,0.2334674847709252,0.948,0.2363806029435987,2000.0,500,light
1,DML-Chang,0.123285767946935,0.1176594831503627,0.0056262847965722,0.2624773253581721,0.9865,0.3014426249531068,2000.0,500,default
1,TWFE,0.1171136224740624,0.1176594831503627,-0.0005458606763003,0.136187588216797,0.999,0.2459251464930759,2000.0,500,default
2,DML-Chang,0.0017249676633085,0.078651847176144,-0.0769268795128355,0.5926023347223104,0.987,0.6727218288535718,2000.0,500,default
2,TWFE,0.0734215448281073,0.078651847176144,-0.0052303023480366,0.1475252531020103,0.9995,0.2622650651069279,2000.0,500,default
3,DML-Multi,-0.0457463945477702,-0.0503851695054269,0.0046387749576566,0.153645957045832,1.0,,2000.0,500,default
3,TWFE,0.1047187606130573,-0.0503851695054269,0.1551039301184843,0.3300447835040747,0.6257132857732226,0.1514884353864095,2000.0,500,default
4,DML-Chang,0.0767226653649602,0.1060555468568296,-0.0293328814918694,0.3652879097413969,0.9825,0.3940528622037645,2000.0,500,default
4,TWFE,0.2734082746731929,0.1060555468568296,0.1673527278163633,0.2189386581655113,0.9825,0.2311638445511725,2000.0,500,default
5,DML-Chang,0.0355611070478011,0.1238746356755933,-0.0883135286277921,0.6188448592665919,0.988,0.7197908230899748,2000.0,500,default
5,TWFE,0.2632830798215799,0.1238746356755933,0.1394084441459866,0.2125530420250013,0.9905,0.2635171843682243,2000.0,500,default
6,DML-Multi,-0.1167441451682945,-0.1250568629227263,0.0083127177544317,0.1715631011950592,1.0,,2000.0,500,default
