scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
1,DML-Chang,0.11822523944414616,0.11740036919052976,0.0008248702536164021,0.039835566207813984,0.9865,0.04871732134707934,2000.0
1,TWFE,0.11787982466046557,0.11740036919052976,0.0004794554699357974,0.030473486001059792,1.0,0.05490425227398719,2000.0
2,DML-Chang,0.03905172002712247,0.08003697898832225,-0.040985258961199776,0.08688400785696072,0.947,0.08537639558787657,2000.0
2,TWFE,0.07956280167566455,0.08003697898832225,-0.00047417731265768305,0.0321332420166127,1.0,0.05867844365037231,2000.0
3,DML-Multi,-0.05127205519733193,-0.05324650044496978,0.0019744452476378412,0.031628838873531254,1.0,,2000.0
3,TWFE,0.10125798373108391,0.006906389834789786,0.09435159389629413,0.10175606127358978,0.23551049269901192,0.03389401217751385,2000.0
4,DML-Chang,0.10261831676529387,0.10466937643255782,-0.0020510596672639486,0.059173981206905396,0.9825,0.06655641598582233,2000.0
4,TWFE,0.2760385488956463,0.10466937643255782,0.17136917246308844,0.17435350715267278,0.014,0.0516571829841291,2000.0
5,DML-Chang,0.06698197419284299,0.12489875661899358,-0.05791678242615057,0.10244928619533433,0.9465,0.10012956469846866,2000.0
5,TWFE,0.2642425111417529,0.12489875661899358,0.13934375452275935,0.1436806309996912,0.2565,0.058967603103327076,2000.0
6,DML-Multi,-0.10660225181247611,-0.11410923285741754,0.007506981044941422,0.03558072292868003,0.9994992899597438,,2000.0
6,TWFE,0.15476005733466314,-0.02039183116306345,0.17515188849772662,0.17826264918115528,0.0,0.02881487094758799,2000.0
7,DML-Chang,-0.9287850494120514,-0.9245608435592287,-0.0042242058528226805,0.10284774413136114,0.9635,0.1101070065949435,2000.0
7,TWFE,-0.7592338188705747,-0.9245608435592287,0.16532702468865404,0.1695746621884108,0.1055,0.05992924691877875,2000.0
8,DML-Chang,-0.28418819713657895,-0.5701249545347588,0.28593675739817986,0.30772138660423454,0.3455,0.12221951857375978,2000.0
8,TWFE,-0.45653099967604316,-0.5701249545347588,0.11359395485871562,0.1221850804177741,0.646,0.06670054759557269,2000.0
9,DML-Multi,-1.193830293438133,-1.1891205766230462,-0.004709716815087058,0.058069761048630174,0.9944967147127843,,2000.0
9,TWFE,-0.6413122536410301,-0.973791136525719,0.3324788828846891,0.33376144368913574,0.0,0.030384722160295526,2000.0
10,DML-Chang,0.04022871983298735,0.0399949733837799,0.00023374644920745238,0.07119039115210743,0.9815,0.08535590244482856,2000.0
10,TWFE,0.04005081380567008,0.0399949733837799,5.5840421890180005e-05,0.03264432227550031,0.986,0.04225341292489459,2000.0
11,DML-Chang,0.058853992233802103,0.04976060643422722,0.009093385799574884,0.08604655165518293,0.9795,0.10018949236558981,2000.0
11,TWFE,0.1875711371898091,0.04976060643422722,0.1378105307555819,0.14230872703506542,0.072,0.04375821454807824,2000.0
12,DML-Chang,-0.29000328904375655,-0.6266994354578824,0.33669614641412593,0.35596744240428274,0.197,0.12215977310134457,2000.0
12,TWFE,-0.5143887687542722,-0.6266994354578824,0.11231066670361026,0.12130314046039975,0.429,0.0532112993187266,2000.0
