scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
1,DML-Chang,0.1180269174107576,0.11740036919052976,0.0006265482202278432,0.03249384194008836,0.9885,0.041013091079251336,2000.0
1,TWFE,0.11787982466046557,0.11740036919052976,0.0004794554699357974,0.030473486001059792,1.0,0.05490425227398719,2000.0
2,DML-Chang,0.03958439311384705,0.08003697898832225,-0.0404525858744752,0.06665585238129851,0.8875,0.053755492586279964,2000.0
2,TWFE,0.07956280167566455,0.08003697898832225,-0.00047417731265768305,0.0321332420166127,1.0,0.05867844365037231,2000.0
3,DML-Multi,-0.05121783269941708,-0.05324650044496978,0.0020286677455526986,0.02701549931370538,1.0,,2000.0
3,TWFE,0.10125798373108391,0.006906389834789786,0.09435159389629413,0.10175606127358978,0.23551049269901192,0.03389401217751385,2000.0
4,DML-Chang,0.10381900794123176,0.10466937643255782,-0.0008503684913260584,0.04076419911635101,0.9635,0.043244109337043306,2000.0
4,TWFE,0.2760385488956463,0.10466937643255782,0.17136917246308844,0.17435350715267278,0.014,0.0516571829841291,2000.0
5,DML-Chang,0.06553918516366454,0.12489875661899358,-0.059359571455329024,0.08352097703542123,0.8365,0.06122887402495198,2000.0
5,TWFE,0.2642425111417529,0.12489875661899358,0.13934375452275935,0.1436806309996912,0.2565,0.058967603103327076,2000.0
6,DML-Multi,-0.10757411010326814,-0.11410923285741754,0.006535122754149417,0.029338999041889607,1.0,,2000.0
6,TWFE,0.15476005733466314,-0.02039183116306345,0.17515188849772662,0.17826264918115528,0.0,0.02881487094758799,2000.0
7,DML-Chang,-0.9234273746503445,-0.9245608435592287,0.0011334689088841777,0.07730009092592738,0.9295,0.07159566030475696,2000.0
7,TWFE,-0.7592338188705747,-0.9245608435592287,0.16532702468865404,0.1695746621884108,0.1055,0.05992924691877875,2000.0
8,DML-Chang,-0.2818136102164051,-0.5701249545347588,0.2883113443183537,0.3008653349523469,0.0745,0.0798424541246941,2000.0
8,TWFE,-0.45653099967604316,-0.5701249545347588,0.11359395485871562,0.1221850804177741,0.646,0.06670054759557269,2000.0
9,DML-Multi,-1.1939921467539383,-1.1891205766230462,-0.00487157013089213,0.04355198325566491,0.996992835017396,,2000.0
9,TWFE,-0.6413122536410301,-0.973791136525719,0.3324788828846891,0.33376144368913574,0.0,0.030384722160295526,2000.0
10,DML-Chang,0.03939171106054555,0.0399949733837799,-0.0006032623232343462,0.04727118608810686,0.9755,0.05378844566604197,2000.0
10,TWFE,0.04005081380567008,0.0399949733837799,5.5840421890180005e-05,0.03264432227550031,0.986,0.04225341292489459,2000.0
11,DML-Chang,0.060688644568030886,0.04976060643422722,0.010928038133803667,0.05792394984081607,0.964,0.06148140876711838,2000.0
11,TWFE,0.1875711371898091,0.04976060643422722,0.1378105307555819,0.14230872703506542,0.072,0.04375821454807824,2000.0
12,DML-Chang,-0.2848954295224491,-0.6266994354578824,0.34180400593543336,0.35227327278921905,0.017,0.0796811102965088,2000.0
12,TWFE,-0.5143887687542722,-0.6266994354578824,0.11231066670361026,0.12130314046039975,0.429,0.0532112993187266,2000.0
