scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
8,DML-Chang,-0.28146365091299097,-0.5698294020982712,0.2883657511852802,0.3351206104792813,0.748,0.20544048873395596,500
8,TWFE,-0.45278131276896033,-0.5698294020982712,0.11704808932931082,0.12491187744659689,0.606,0.06670110505835093,500
12,DML-Chang,-0.30703258094736907,-0.6270711499390056,0.3200385689916366,0.35953442846220085,0.696,0.20586515671725109,500
12,TWFE,-0.5164138636753745,-0.6270711499390056,0.11065728626363118,0.11940679161854155,0.448,0.05324171736384148,500
