scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
8,DML-Chang,-0.29045871847981086,-0.5701249545347588,0.279666236054948,0.4209528411248402,0.939,0.38959384077215037,2000
8,TWFE,-0.45653099967604316,-0.5701249545347588,0.11359395485871562,0.1221850804177741,0.646,0.06670054759557269,2000
12,DML-Chang,-0.29101071293468805,-0.6266994354578824,0.33568872252319437,0.4593594697114815,0.9135,0.38947909933843383,2000
12,TWFE,-0.5143887687542722,-0.6266994354578824,0.11231066670361026,0.12130314046039975,0.429,0.0532112993187266,2000
