scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters
8,DML-Chang,-0.28231474075999713,-0.5693882563789583,0.28707351561896116,0.33316298457009436,0.74,0.2034457298594051,100
8,TWFE,-0.455270851350055,-0.5693882563789583,0.11411740502890323,0.12092671201363266,0.65,0.06671365389737188,100
12,DML-Chang,-0.2978555606534781,-0.6264636511039208,0.3286080904504427,0.37387691889579283,0.66,0.20673541836374773,100
12,TWFE,-0.5152391949914413,-0.6264636511039208,0.11122445611247958,0.12044051843287161,0.49,0.05300664373599285,100
